HASHTAG,ORIENTATION
TimeDoLula,L
13DiasParaVotar13,L
LulaPresidente13,L
LulaLadraoSeuLugarENaPrisao,R
PrefiroCiro12,N
jornaldamanha,L
3em1,L
ospingosnosis,L
LulaPresidente,L
BolsonaroNaCadeia,L
PCdoBcomLula,L
LulaNo1ºTurno,L
BrasilDaEsperanca,L
CiroNoRatinho,L
VoteNoTerceiro,L
OPoder,N
brasil,N
silas,R
malafaia,R
londres,R
bolsonaro,R
jairbolsonaro,N
eleições2022,N
eleição,N
LulaNoPrimeiroTurno,L
BolsonaroNoPrimeiroTurno22,R
CerradoNoSenado180,L
Eleições2022,N
LULA,L
LulaEoPTjaNo1ºTurno,L
LulaNo1oturno,L
BolsonaroNoPrimeiroTurno,R
Política,N
Brasil,N
Eleicoes2022,N
ForaBolsonaro,L
Lula,L
Ricardo,L
Vené,L
Faltam13dias,L
notícias,R
g1,N
Twibbon,L
URGENTE,N
PrefiroCiro,N
Virada12,N
CiroPresidente12,N
SintectRJ,L
Freixo,L
ElizabethII,L
NewProfilePic,L
FórumOnzeeMeia,L
afazenda14,L
pantanal,N
tvglobo,N
Globo,R
Encontro,N
maisvoce,N
BiaMiranda,N
Meodeusssssssss,L
R7,R
politica,L
Ciro2022,N
CiroOuNulo,N
drudge,L
lulabara,L
BolsonaroReeleitoEm2022,R
LulaPresidente2022,L
España,L
PesquisaEleitoral,R
Bolsonaro,R
polarização,R
Corrupção,R
QueenElizabeth,L
eleicoes,N
seebdourados,N
bancários,N
habitação,N
LeeDesdeCuba,L
BrasildaEsperança,L
BolsonaroEmLondres,R
ViradaRJ,L
Repost,L
AldearAPolítica,L
DemarcaçãoJá,L
celiaxakriaba5088,L
Lula13,L
LulaEoPToBrasilTemPressa,L
BrasilDaEsperança,L
ColetivaElas,L
agoraéquesãoELAS,L
GobiernoDeSoluciones,L
Lula13no1oTurno,L
TikTok,L
PTNuncaMais,L
LulaLixo,R
Gasolina,R
JoaoAlfredo5001,L
gasolina,R
portalmanaos,R
pesquisa,L
PesquisaBTG,N
Pesquisaeleitoral,N
Eleicoes,N
MariaBethania,L
EnioVerri1330,L
NoAmazonasÉAssim,L
lula,L
bozo,L
昨日,L
ランチ,L
漁港,L
夫婦,L
写真好きな人と繫がりたい,L
写真撮ってる人と繫がりたい,L
oğuzholding,L
oğuzgıda,L
enesörer,L
pazarpayı,L
ihracat,L
yerliüretim,L
milliüretim,L
içecekpazarı,L
influencer,L
MondayMotivation,L
2ndWorldTour_MANIAC_Seoul_Special_UNVEIL11,L
StrayKids,L
스트레이키즈,L
CASE143,L
MAXIDENT,L
BolsonaroReeleitoNoPrimeiroTurno,R
TarcisioGovernadorSP2022,R
VOTOutil,L
morningshow,R
eleicao2022,R
CiroPresidente,N
manifestação,R
PorIssoVotoNoCIRO,L
TempoDunia,L
sacangemnopoupatempo,L
sabesmuito,L
sexozinnocarro,L
HIPOCRITA,L
News,R
FuckBolsonaro,L
FuckFascists,L
FCKNZS,L
Bolsonaro22,R
Luladrao,R
eLeDeLADRAO,R
BrasilACORDOU,R
EsquerdaCriminosa,R
BrasilLIVRE,R
BolsonaroTemRazao,R
direita,N
BolsonaroReelected,R
BolsonaroReeleito,R
Bolsonaro2022,R
DharmaNaMídia,L
ZeeNuNew,L
poupettekenza,L
goLOUD,R
HouseOfTheDragon,R
BDSP,R
BailaViniJr,R
ViolaDavis,R
AtleticodeMadrid,R
BLOGteleSUR,L
JavierTolcachier,L
atelierpawlick,L
pawlick,L
luhanapawlick,L
altamoda,L
FechadosComBolsonaroAte2026,L
ForaBolsonaroGenocida,L
Ciro12,N
NovaFotoDePerfil,L
Resistencia1627Dias,L
BolsonaroNuncaMais,L
bolsonaroworldshame,L
JairBolsonaro22,R
criança,R
LulaLadrao,R
mulherescombolsonaro,R
BolsonaroOrgulhoDoBrasil,R
NoticiasHonduras,L
PeriodismoU,L
fantastico,L
corlu,L
FuneralRainha,L
compartilheaverdade,L
13,L
lulapresidente,L
lula13,L
fazol,L
vote13,L
votelula,L
lulacomchuchu,L
CapitaoDoPovoVaiVencerDeNovo,L
NAYEON,L
TWICE,L
트와이스,L
VEREADOR,L
GARIS,L
BOLSONARO,L
LulaAlckmin,N
HenriqueMeirelles,L
PlenoNews,L
CIRONORATINHO,L
PT13,L
LulaEoPTUnicaViaJaNo1ºTurno,L
PEC32Não,L
PL2258NÃO,L
PrefiroCiroPresidente12,N
JairBolsonaro,R
JairBolsonaro17,R
Cristão,L
223,L
soniasp5088,L
spéterraindígena,L
professordudu,L
deputadoestadual,L
vote13123,L
detodasaslutas,L
ListadechefesdeEstadorecebidosporJairBolsonaro,L
wikipedia,L
eleicoes2022,N
eduardobolsonaro,R
claudiofernando,R
bolsomito,R
fechadocombolsonaro,R
claudioferndando22380,R
bolsonaromerepresenta,R
bolsonaropresidente,R
ONU,L
I3rasil,L
gugaenergumeno,L
SegundaChamada,L
VaiSerNoPrimeiroTurno,L
mornigshow,L
13dias,N
brandão40,N
dino400,N
edicao10,R
cnnBrasil,R
oglobo,R
camaradeputados,R
senadofederal,R
diariodepernambuco,R
uolnews,R
estadodeminas,R
DireitaUnida,R
diariodonordeste,R
JovemPanNews,R
bandnewsfm,R
folha,R
estadao,R
bandnewstv,R
encontro,L
ex,L
presidenciaveis,L
apoio,L
BolsonaroBurro,R
LibraéMaiorQueReal,R
MorningShow,R
VotePreto,L
NeivaLazzarotto50001,L
DeputadaEstadual,L
TamyresFilgueira5001,L
DeputadaFederal,L
HaddadGovernador13,L
MarcioFranca400Senador,L
NiltoTatto1353Federal,L
basile,L
caminhada,L
pt,L
lulano1oturno,L
INSTA,L
Seungstagram,L
gimondardodepfederal65,L
ELEIÇÕES2022,L
tchutchucadocentrão,L
EleNao,L
Opinião,L
Lula2022,L
Panico,L
VittarloversComBolsonsro,L
JN,R
Fantástico,L
Goiania,L
Malafaia,R
Religião,R
PortaliG,L
VaiSerNoPrimeiroTurno22,L
CNNnasEleições,N
BolsonaroReeleitoNoPrimeiroTurno2022,L
AuxilioGás,R
FamiliasPobres,R
Economia,N
Fome,R
desemprego,R
Pactu,R
seebumuarama,R
umuarama,R
Londres,N
PrensaLatina,N
janones,L
monark,L
LulaGigante,L
Vote21,L
PCB21,L
SofiaManzano21,L
Sofia50Mil,L
forafamilicia,L
anfenoju,L
FechadoComBolsonaro22,L
13DiasPraVotar13,L
IsabelII,N
5,L
Morningsghow,N
NaoVotemNeles,L
2deoutubro,L
lulaparapresidente,L
obrasilnãoaguentamais,L
Brazil,N
BrasildeFato,L
BOLSOANRO,L
ÉpraSeguirJuntos,L
politics,N
brazil,N
UnitedKingdom,N
QueenElizabethII,N
BrazilianPolitics,N
eleições,N
bolsonarocorrupto,L
DesculpasDoPT,L
QueroBolsonaroAte2026,L
TimeLula,L
BolsonaroGenocida,L
BolsonaroCorrupto,L
ForaBolsonaroCorrupto,L
diva,L
CiroTV,N
VEJAGente,L
Obtuso,L
13confirma,L
lulapresidente13,L
FAKE,L
Vexame,L
bolsominios,L
STAY,L
LulaEmCuritiba,L
Voto50013,L
SouMaisColetivo,L
TurmaBoa,L
AndreSenador133,L
Lula13NoPrimeiroTurno,L
UseVerdeAmareloPraIrVotar,L
FazoL,L
SigaIF,L
InteligenciaFinanceira,L
IF,L
VamosJuntosPeloBrasil,L
sigilo,N
LulaLáMaríliaCá,L
MaríliaÉ77,L
MaríliaGovernadora77,L
ChoraPetezada,L
anodeouro,L
PNotícias,R
últimasnotícias,R
EmpurraPiatã,R
PiatãFM,R
política,R
combustível,R
inglaterra,R
vídeo,R
empresário,R
aposta,R
JornaldaCultura,L
DouglasBelchior1375,L
jair_bolsonaro,L
international,L
elizabeth_ii,L
condolences,L
president,L
TaNaHoraDeVoceOlharProCiro,L
noticieromam,N
emisorasunidas,N
CNNBrasil,R
AlessandroTrindade13163,L
AndreCeciliano133,L
BOLSONARO2022,N
ANTONIOTERTUS,N
43,L
euvotoemprojeto,L
hotd,L
faltam13,R
TELEPROMPTER,L
antalyatraveﬅi,L
Lula13Presidente,L
LulaPresidentePrimeiroTurno,L
